participant_id	age	sex	edu	nlang	ahrq_score	manipulationfactor	orthographicfactor	verbalfactor	visualfactor	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	cognitive_and_emotional_regulation	social_connection	engaged_production	dance	physical_exercise	swt_score_cs	swt_score_us	hand_index	bsmss
sub-pp145	28.5	m	13	3	0.434782608695652	4	2	3.16666666666667	4	84	80	100	90	66.6666666666667	55	85	60	4	3	0.03125	21	10	9	4	13	3	6	-90	48.5
sub-pp147	27.2	f	15	3	0.347826086956522	3	1	3.5	3.6	68	76.6666666666667	85	80	80	65	85	67.5	6	4	0.015625	34	13	9	10	16	3	3	100	47
sub-pp149	22.4	m	16	4	0.239130434782606	4.375	2.5	3.41666666666667	3	84	90	80	80	46.6666666666667	65	70	82.5	4	20	0.4375	33	14	12	2	14	11	3	45	40
sub-pp150	21.7	m	15	5	0.282608695652174	3.625	1.33333333333333	4.33333333333333	3.9	48	76.6666666666667	85	45	33.3333333333333	80	90	92.5	0	20	0	31	10	14	4	14	12	7	-10	34
sub-pp151	21.4	f	15	4	0.358695652173913	3	2.33333333333333	4.5	3.5	88	83.3333333333333	100	85	60	55	100	82.5	0	15	0	39	18	9	9	15	8	7	70	49
sub-pp152	18.4	m	12	4	0.467391304347826	4.5	2.66666666666667	3.58333333333333	4.4	64	93.3333333333333	90	75	53.3333333333333	60	95	77.5	2	8	0	34	15	13	3	16	4	3	80	32.5
sub-pp155	23.9	f	16	5	0.108695652173912	2.375	3.33333333333333	3.5	4.6	76	80	95	95	40	95	80	100	3	10	0.1875	32	7	22	2	18	12	8	70	47.5
sub-pp156	22.1	f	15	4	0.336956521739134	3.625	2.33333333333333	3.58333333333333	3.5	56	80	65	65	53.3333333333333	75	75	75	0	10	0	34	12	15	9	11	10	8	-80	56.5
sub-pp158	20.8	f	16	3	0.206521739130435	4.125	4.66666666666667	4.08333333333333	4.2	72	80	85	90	80	55	100	67.5	5	15	1.5	37	16	30	8	11	6	6	15	28
sub-pp159	20.2	m	14	4	0.423913043478262	3.125	2.66666666666667	4.33333333333333	4	64	83.3333333333333	70	90	26.6666666666667	45	80	92.5	3	20	0.15625	40	8	10	3	18	15	5	55	63.5
sub-pp160	21.2	f	15	3	0.391304347826089	3	2.5	3.5	3.7	84	66.6666666666667	95	80	66.6666666666667	55	100	65	4	10	0.03125	33	11	12	2	13	7	8	45	48.5
sub-pp161	20.8	f	16	6	0.576086956521741	3.75	2.16666666666667	2.41666666666667	3	40	73.3333333333333	75	75	73.3333333333333	50	70	62.5	0	15	0	25	3	9	5	11	3	3	25	36
sub-pp162	21.7	f	14	5	0.369565217391305	3.875	2.33333333333333	3.33333333333333	4.1	92	100	100	90	40	70	100	90	3	25	0.5	39	13	12	11	18	10	14	80	60.5
sub-pp163	25	f	16	3	0.25	3.375	2.83333333333333	4.16666666666667	4.2	60	76.6666666666667	85	80	80	55	100	50	1	1	0	32	15	9	10	14	4	3	85	20.5
sub-pp164	24.8	m	19	5	0.043478260869564	3.5	2.5	4.08333333333333	3.5	96	93.3333333333333	100	75	40	70	100	97.5	4	20	0.09375	35	8	17	5	14	10	3	-50	53
sub-pp166	24	f	16	4	0.391304347826087	3.875	3.16666666666667	3.58333333333333	5	48	66.6666666666667	60	95	60	70	100	75	5	5	10	38	16	47	8	11	3	3	95	41
sub-pp168	22	f	15	3	0.521739130434783	3.5	2.16666666666667	3.83333333333333	4	64	86.6666666666667	80	65	100	25	100	20	3	15	0	25	8	11	9	12	3	6	75	48
sub-pp169	19.9	f	14	8	0.152173913043478	3.625	2.5	4.08333333333333	4.1	92	100	95	90	66.6666666666667	50	80	90	2	15	0.0625	31	12	23	2	8	9	3	55	66
sub-pp170	23.1	f	18	4	0.23913043478261	3.625	2.16666666666667	3.5	3.6	84	86.6666666666667	85	80	66.6666666666667	60	100	82.5	2	10	0	34	14	9	8	14	11	8	85	58
sub-pp171	26.1	m	17	3	0.16304347826087	4.5	2.83333333333333	4.25	4.6	60	76.6666666666667	80	70	40	75	80	62.5	4	15	0.5	40	5	18	8	4	10	6	30	43.8
